2019 NSS results split by teaching provider,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,%Agree,,,,,
UKPRN,Provider,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval - min,Actual value,Confidence interval - max,Response,Sample Size,Two years aggregate data?
10000055,Abingdon and Witney College,Scale08,5%,3%,12%,46%,33%,0,65%,80%,89%,49,57,
10000055,Abingdon and Witney College,Q26,3%,5%,41%,38%,13%,10,35%,51%,68%,39,57,
10000055,Abingdon and Witney College,Q27,0%,8%,4%,47%,41%,0,74%,88%,95%,49,57,
10046802,Academy of Music & Sound (Exeter) Ltd,Q01,0%,0%,10%,40%,50%,0,56%,90%,98%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q02,0%,0%,10%,50%,40%,0,56%,90%,98%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q03,0%,0%,20%,30%,50%,0,46%,80%,95%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q04,0%,10%,20%,30%,40%,0,37%,70%,90%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Scale01,0%,3%,15%,38%,45%,0,48%,83%,96%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q05,0%,0%,30%,40%,30%,0,37%,70%,90%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q06,0%,0%,30%,30%,40%,0,37%,70%,90%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q07,0%,0%,10%,60%,30%,0,56%,90%,98%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Scale02,0%,0%,23%,43%,33%,0,43%,77%,94%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q08,0%,10%,10%,50%,30%,0,46%,80%,95%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q09,0%,11%,0%,33%,56%,1,53%,89%,98%,9,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q10,0%,10%,20%,50%,20%,0,37%,70%,90%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q11,0%,0%,20%,40%,40%,0,46%,80%,95%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Scale03,0%,8%,13%,43%,35%,1,44%,78%,94%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q12,0%,0%,0%,60%,40%,0,68%,100%,100%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q13,0%,0%,20%,40%,40%,0,46%,80%,95%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q14,0%,0%,30%,40%,30%,0,37%,70%,90%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Scale04,0%,0%,17%,47%,37%,0,49%,83%,96%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q15,10%,30%,20%,20%,20%,0,15%,40%,71%,10,16,
